YEAR,Agata ,Akurnes ,Aleksandrovskoe ,Alesund / Vigra ,Amderma ,Amga ,Anadyr' ,Arhangel'Sk ,Arka ,Bajkit ,"Baker Lake A, Nu ",Bardufoss ,Batamaj ,BEAVER CREEK ARPT,Belozersk ,Berezovo ,Bergen / Florida ,BETHEL AIRPORT,BETTLES AIRPORT,Bjornoya ,Bodo Vi ,Bor ,Brata ,"Cambridge Bay A, Nu ",Cherdyn ,Chernishevskij ,Cherskij ,Chokurdah ,"Coppermine, N. W. T. ","Coral Harbour, N. W. T. ",Curapca ,DAWSON CITY,DEADHORSE AIRPORT,Drevsjo ,Dzalinda ,Dzardzan ,Erbogacen ,Fagernes ,FAIRBANKS INTERNATIONAL,FARO,Fokstua Ii ,FORT GOOD HOPE,FORT MCPHERSON,FORT RESOLUTION,"Fort Simpson, N. W. T. ","Fort Smith, N. W. T. ",Gajny ,GULKANA AIRPORT,Hanty-Mansijsk ,Hatanga ,"Hay River, N. W. T. ",Helsinki-Vantaa ,Igarka ,Ilirnej ,Im. M. V. Popova ,INUVIK MIKE ZUBKO,Isit ,Ivdel ,Jakutsk ,Jarcevo ,Jubilejnaja ,Kalevala ,Kandalaksa ,Kanin Nos ,Kargopol ,Keflavikurflugvollur ,KENAI MUNICIPAL AIRPORT,Kirkjubaejarklaustur ,Kjusjur ,Kojnas ,Kotlas ,Krasnoscel'E ,Lensk ,Lerwick ,Lovozero ,Lulea / Kallax ,M.K.(MUDHOLE) SMITH ARPT,Malye Karmakuly ,Maresale ,MAYO,MCGRATH AIRPORT,Medvezegorsk ,MERRILL FIELD AIRPORT,Murmansk ,Muzi ,Myken ,Nar'Jan-Mar ,Niinisalo ,Njaksimvol ,Njurba ,NOME AIRPORT,"Norman Wells, N. W. T. ",Ob. Jacevo ,Ojmjakon ,Oktjabr'Skoe ,Olekminsk ,Onega ,Orland Iii ,Oslo / Gardermoen ,Ostrov Dikson ,Ostrov Kotel'Nyj ,Padun ,PALMER MUNICIPAL AIRPORT,PAULATUK,Pechora ,Petrozavodsk ,Pinega ,Pjalica ,Pokrovskaja ,Pudoz ,RALPH M CALHOUN MEML ARPT,RALPH WIEN MEMORIAL AIRPORT,"Rankin Inlet, N. W. T. ",Reboly ,"Resolute, N. W. T. ",Reykjavik ,Roros ,Saim ,Salehard ,Sangary ,Saskylah ,Sejmchan ,Selagoncy ,Senkursk ,Skrova Fyr ,Sletnes Fyr ,Sojna ,Sortavala ,Sortland,Sosva ,Sula ,Suntar ,Sura ,Surgut ,Syktyvkar ,Sym ,TALKEETNA AIRPORT,Tarko-Sale ,Tazovskoe ,TED STEVENS ANCHORAGE INTL,Teriberka ,Tiksi ,Tompo ,Troicko-Pecherskoe ,Tura ,Turuhansk ,Uhta ,Umba ,Ust'- Cil'Ma ,Ust'- Kulom ,Ust'- Maja ,Ust'- Usa ,Vanavara ,Vanzil'- Kynak ,Vardo ,Vel'Sk ,Venabu ,Verhneimbatsk ,Verhojansk ,Vesljana ,Vestmannaeyjar ,Vidsel ,Viljujsk ,Vorkuta ,Vozega ,Vyborg ,WATSON LAKE,"Yellowknife, N. W. T. ",Zhigansk ,Zizgin ,Zyrjanka 
2000,4,1,17,4,3,13,0,16,3,12,3,1,11,0,26,7,27,0,2,1,1,15,1,1,18,12,3,3,8,2,12,0,0,6,3,1,2,2,2,1,1,1,0,0,21,23,24,0,19,2,10,14,14,0,2,0,6,22,10,12,0,19,9,0,25,2,0,1,1,9,17,7,13,7,5,6,0,0,0,0,0,22,0,8,9,3,5,13,1,10,0,10,23,9,14,18,20,6,16,0,0,9,0,0,11,23,6,4,12,20,1,0,1,10,0,4,2,16,3,13,0,3,3,14,1,0,5,23,1,6,0,16,9,8,19,3,0,5,4,0,2,0,6,17,2,4,13,5,11,17,6,7,17,3,3,16,3,11,8,12,1,0,8,2,27,20,0,6,11,2,4
2001,0,5,33,7,1,16,0,11,7,16,3,1,9,0,13,12,15,0,0,2,7,28,2,0,19,22,0,0,1,1,7,0,0,5,4,1,5,3,1,0,2,0,0,0,19,20,17,0,24,8,11,13,9,0,0,0,2,22,7,26,1,12,6,0,13,2,0,1,0,0,12,4,18,2,5,4,0,1,4,3,0,15,0,3,5,2,4,6,4,14,1,8,17,11,14,12,11,6,13,1,0,5,0,0,16,16,13,2,10,13,1,0,1,9,0,0,7,11,7,6,1,6,5,17,1,0,2,9,2,6,0,15,15,7,12,7,0,13,9,0,0,1,15,12,10,22,14,8,6,15,21,10,19,13,3,13,4,20,2,9,0,0,11,2,20,15,0,5,4,5,3
2002,7,1,14,5,3,10,0,5,3,23,1,2,12,0,14,9,11,0,1,0,8,13,4,0,6,29,1,1,2,0,10,0,0,9,1,0,12,7,2,0,5,2,1,0,13,9,15,1,17,4,8,14,10,0,0,0,4,9,9,22,2,19,15,0,14,0,0,0,2,6,13,5,20,3,7,2,0,0,1,0,0,15,0,2,9,4,6,9,0,11,0,9,17,14,9,16,7,17,16,2,1,9,0,0,10,8,5,1,9,7,1,0,1,13,0,1,2,9,7,14,2,13,7,18,1,0,5,21,3,8,0,16,10,5,13,5,0,13,6,0,1,5,21,10,10,12,11,7,7,13,16,8,19,4,1,16,8,11,5,8,1,0,12,6,17,12,0,3,8,0,5
2003,2,2,24,6,5,18,0,20,2,5,6,2,12,0,18,23,8,0,0,1,10,10,1,2,18,13,2,1,3,2,11,0,0,2,2,0,10,3,0,0,3,0,0,0,11,18,29,0,21,4,14,8,7,0,5,0,10,23,14,19,2,23,8,0,21,2,0,2,3,17,18,8,20,7,6,1,0,0,3,0,0,18,0,5,5,2,8,16,13,10,1,5,10,12,24,19,11,3,12,1,0,8,0,0,23,16,15,3,12,17,0,0,2,9,1,1,2,9,11,8,1,8,5,15,3,0,2,22,3,17,0,13,23,10,24,2,0,15,9,0,3,1,15,22,3,3,17,8,22,23,20,20,11,9,3,18,3,3,2,17,5,1,7,6,31,17,0,7,9,1,3
2004,5,0,23,3,3,10,1,10,1,11,2,1,4,0,18,11,20,1,4,3,1,26,0,0,19,8,1,0,0,0,5,0,0,1,0,2,15,1,0,0,2,0,0,0,5,5,28,0,9,0,3,15,6,0,1,0,12,16,7,21,1,15,13,2,17,0,0,1,2,9,16,9,9,3,7,0,0,1,0,0,2,15,0,6,8,7,11,9,3,7,0,4,31,3,14,17,13,9,10,1,0,10,0,0,17,11,9,6,4,17,2,0,1,10,1,1,0,13,6,6,0,4,0,15,1,0,2,15,0,12,1,13,18,8,23,8,0,7,7,2,3,0,11,17,8,12,14,8,8,26,9,8,22,12,0,18,3,15,2,12,1,0,7,5,23,19,0,6,1,4,4
2005,10,0,26,13,2,11,0,9,6,18,0,0,10,0,17,10,19,0,22,0,1,22,0,0,17,21,6,1,0,0,9,0,0,0,5,2,18,1,22,0,1,0,0,0,13,19,16,17,14,3,13,9,3,5,1,0,18,16,14,29,1,15,10,1,17,0,0,0,0,14,21,10,23,5,5,0,1,0,3,3,12,12,1,6,9,0,13,2,7,22,1,5,20,12,18,20,11,6,6,0,0,6,4,0,14,10,13,2,13,12,9,1,0,4,0,0,1,10,9,11,0,11,0,16,1,0,2,11,3,12,1,11,24,7,17,11,1,7,6,8,4,4,10,16,7,11,21,5,14,17,13,12,28,6,1,19,3,15,5,16,0,4,6,10,21,14,2,8,7,0,6
2006,11,0,16,10,4,17,1,12,0,10,1,4,9,0,10,13,30,2,7,0,3,16,2,3,19,14,3,0,4,1,7,0,0,0,0,1,10,5,7,1,3,0,2,0,18,20,24,4,17,1,12,10,10,4,1,1,14,21,13,14,2,14,12,0,16,0,0,1,7,0,15,7,12,6,6,0,0,1,1,3,11,13,0,11,8,1,5,3,6,14,0,8,27,9,17,16,7,7,15,0,0,9,1,1,18,11,9,6,18,11,5,0,1,7,0,0,2,7,10,11,2,13,0,20,0,0,0,8,1,8,1,14,14,8,24,12,1,6,5,1,3,7,7,20,5,12,14,6,12,19,9,9,12,19,3,23,6,15,4,14,0,0,7,6,25,8,0,11,8,3,3
2007,4,0,21,12,4,11,3,14,6,15,1,1,9,0,16,19,16,3,30,0,1,18,0,1,21,13,3,0,1,1,6,1,0,3,4,3,12,0,25,1,0,3,0,0,11,12,24,19,18,6,8,16,4,2,0,0,8,19,8,17,2,11,6,0,16,1,1,0,6,11,27,10,20,1,3,2,2,1,1,4,19,14,1,5,6,3,6,12,12,11,0,6,34,8,16,18,22,11,9,0,1,3,0,0,14,13,14,2,6,15,7,2,3,5,0,0,0,11,10,3,1,13,5,21,0,0,4,18,0,9,0,10,17,6,20,15,0,12,10,1,1,4,14,20,9,11,15,9,17,20,19,17,18,2,1,18,2,12,11,11,0,0,6,9,23,17,1,2,11,5,4
2008,1,0,18,13,2,9,0,9,3,9,2,3,6,0,17,13,31,1,10,0,4,14,0,1,14,15,0,0,3,1,6,1,3,5,8,6,15,5,16,0,3,0,0,0,12,24,25,19,18,1,9,12,4,1,0,0,9,15,7,20,2,8,3,1,14,0,0,2,9,9,16,3,21,8,3,1,0,3,1,0,4,12,3,4,9,3,3,10,1,8,2,10,20,14,11,15,5,12,10,1,0,2,0,0,10,11,8,3,8,9,8,1,2,7,0,2,3,6,3,13,1,13,0,16,0,0,3,13,1,8,0,10,11,5,15,18,0,4,5,2,2,3,9,19,7,7,16,4,8,16,15,9,14,2,0,11,5,11,11,17,3,0,12,5,22,16,0,6,6,1,4
2009,12,1,18,11,4,7,0,10,9,12,3,1,12,0,17,13,13,1,11,0,1,18,2,0,18,18,0,2,1,1,3,0,0,0,10,6,21,2,8,0,6,1,0,0,12,10,27,14,15,6,8,11,5,2,0,0,8,15,8,17,0,16,12,0,25,0,0,2,4,4,19,4,15,2,5,1,0,2,2,2,6,17,0,4,7,0,5,5,8,15,1,8,16,13,15,19,18,5,14,2,0,7,6,0,17,9,13,2,6,15,6,2,3,9,0,0,4,11,3,11,3,10,0,26,0,1,4,14,1,10,0,11,13,6,20,22,2,8,8,1,3,4,19,15,3,10,17,12,3,18,13,6,19,3,1,16,4,10,5,12,0,3,15,3,27,11,2,5,7,6,2
2010,6,0,21,5,4,12,0,22,2,7,2,1,15,0,24,11,7,2,22,0,2,11,1,2,13,11,0,2,5,0,8,1,0,0,1,3,12,1,13,0,2,0,1,1,20,19,18,7,10,2,19,11,6,1,0,0,5,15,14,8,0,22,15,2,27,3,0,0,5,10,15,11,18,6,11,1,0,0,2,3,10,13,2,12,7,1,12,16,9,14,1,10,18,9,16,13,20,2,6,0,0,10,0,1,13,23,18,14,10,26,15,0,2,6,0,1,3,12,5,9,2,4,2,17,0,1,4,11,2,3,0,17,15,6,16,13,0,5,2,1,7,3,7,14,4,7,15,17,16,16,13,5,12,5,1,16,5,8,4,8,1,0,9,7,25,18,0,9,7,6,5
2011,6,0,19,16,1,11,4,9,8,13,2,1,12,0,24,7,16,0,15,0,7,12,0,2,18,23,0,1,4,2,8,2,0,0,2,2,20,5,9,0,3,0,1,0,14,16,23,7,15,3,8,15,6,1,0,1,16,21,14,17,0,15,11,1,18,2,0,1,5,8,21,8,22,2,6,1,2,2,1,2,0,14,0,5,2,0,5,13,10,19,3,10,16,12,17,19,6,13,12,0,0,6,1,2,13,10,9,5,16,16,7,1,3,11,0,1,3,23,5,13,0,10,5,13,0,0,1,7,1,4,0,19,16,4,15,22,0,5,6,0,2,4,15,16,9,5,7,9,12,20,21,7,17,8,3,11,2,9,4,8,2,2,11,4,22,25,0,9,7,2,7
2012,5,0,15,7,4,9,2,14,9,12,2,0,14,0,20,24,16,0,14,0,1,6,0,4,24,14,2,0,2,0,7,1,0,0,10,8,12,0,10,0,1,0,0,1,17,11,31,5,20,1,8,10,9,0,1,0,20,23,14,8,0,15,10,0,21,0,0,0,4,12,13,5,22,4,7,2,1,1,1,2,2,17,1,7,16,0,8,9,17,15,0,15,22,4,20,12,13,3,7,0,1,6,1,0,26,13,13,3,10,17,8,0,2,14,0,0,0,23,15,9,1,4,5,11,0,2,3,20,3,15,0,16,18,3,18,7,3,17,12,1,0,5,11,20,6,10,15,6,18,17,15,14,20,12,0,16,0,6,7,17,1,0,17,7,19,10,1,6,9,2,1
2013,5,0,20,7,4,22,0,10,3,12,2,6,13,0,25,12,22,0,3,0,6,14,2,1,23,11,3,1,2,1,4,0,0,0,4,3,6,2,3,1,2,0,1,3,9,17,24,4,13,1,8,12,7,0,0,0,4,27,9,15,0,12,5,0,21,0,0,1,3,14,13,3,23,1,2,3,0,1,1,7,3,17,0,5,11,0,9,18,10,12,0,11,28,7,12,7,17,6,16,1,0,2,0,0,11,15,16,6,10,20,4,0,2,8,0,2,4,22,6,10,0,7,5,17,2,0,2,18,0,16,0,14,16,5,13,19,4,6,2,0,2,0,12,24,8,5,13,3,15,21,14,7,23,23,5,14,3,17,2,18,1,1,8,8,27,12,4,1,5,2,4
2014,1,0,15,11,2,18,2,13,5,16,5,5,21,0,29,9,24,1,12,0,16,10,3,1,20,14,2,0,6,1,10,0,0,5,8,5,7,3,6,0,3,2,0,0,13,16,24,0,10,1,9,17,4,1,0,0,14,15,13,11,1,21,16,1,26,1,3,0,5,7,26,6,19,9,12,0,1,0,0,3,2,24,1,12,6,5,7,24,3,8,2,11,21,8,10,11,15,14,15,0,0,8,0,1,7,19,17,5,10,19,6,0,3,17,1,0,2,13,6,16,1,7,2,27,2,1,7,21,3,10,0,18,19,5,18,16,0,10,5,1,4,5,17,10,12,9,10,8,15,16,20,7,15,18,3,20,13,10,7,18,0,1,10,7,28,27,0,5,5,5,2
2015,5,1,23,20,2,16,0,12,0,10,2,1,12,2,19,13,19,3,11,0,13,18,0,1,17,18,7,1,3,0,11,2,0,2,6,5,11,0,13,3,0,1,0,1,8,12,31,0,11,4,10,8,10,0,1,0,12,18,8,19,0,11,6,1,17,1,2,0,5,4,25,1,13,11,3,0,0,0,6,13,3,14,0,4,10,1,4,11,9,12,3,10,24,12,13,19,15,14,16,0,0,4,2,0,12,10,9,3,7,14,7,0,2,7,0,1,0,19,5,9,0,5,6,21,0,1,2,13,5,11,0,16,13,8,26,23,1,15,10,2,4,1,8,14,7,11,15,2,6,22,26,8,22,18,0,21,0,17,3,19,0,0,6,3,20,5,2,2,15,2,3
2016,0,0,36,10,4,8,1,17,2,8,1,3,7,1,32,14,9,2,14,1,4,9,0,0,25,13,3,0,2,0,3,0,2,4,3,3,14,0,11,3,3,0,1,0,15,18,34,0,14,3,6,16,5,4,1,1,5,25,5,18,0,17,16,0,24,2,0,0,2,16,22,11,20,4,9,3,4,1,0,12,5,27,0,12,9,0,13,9,18,5,0,11,27,14,22,12,24,6,14,0,1,6,1,1,23,17,21,9,8,21,12,0,1,16,0,1,0,24,13,8,0,7,6,23,4,1,1,18,3,13,0,14,29,14,28,25,2,21,7,3,7,2,6,25,3,7,20,14,18,18,9,16,12,23,4,25,3,10,1,22,0,1,4,9,26,9,1,3,2,3,3
2017,3,0,24,6,1,12,1,14,6,16,0,0,8,1,18,13,9,0,16,0,1,15,2,0,19,11,2,1,6,1,6,3,0,0,3,5,15,1,17,3,2,0,0,0,10,10,23,0,21,3,10,13,8,0,0,0,14,21,8,18,0,13,9,1,14,1,0,0,4,17,18,5,17,3,2,0,0,0,0,5,2,5,0,5,6,0,12,9,17,11,0,13,19,7,27,14,16,4,10,0,0,1,1,0,15,11,20,1,11,16,9,0,0,9,0,1,1,20,5,7,1,4,5,22,1,0,2,16,1,13,0,11,26,12,16,21,0,12,8,0,2,1,6,21,5,7,20,8,16,18,8,13,21,25,1,20,2,16,3,14,0,1,5,8,24,18,2,7,7,1,2
2018,8,0,18,2,0,17,0,8,6,22,5,4,17,0,23,4,7,0,15,1,4,9,2,1,10,10,2,0,2,0,15,0,1,5,2,0,15,1,11,1,0,0,0,0,9,11,20,0,14,2,6,4,5,0,0,0,13,13,12,15,0,11,12,0,16,0,0,0,3,7,17,5,17,1,6,0,1,0,1,6,0,15,0,11,2,0,5,8,5,7,0,7,23,20,10,15,17,7,9,0,0,4,0,0,8,14,12,1,14,18,5,0,3,9,0,1,4,12,4,16,3,4,14,19,0,0,1,11,2,3,0,16,15,2,14,21,0,11,9,1,5,2,6,9,15,9,15,7,11,13,23,5,12,17,0,20,5,11,2,13,0,1,13,2,26,12,2,6,12,1,4
2019,5,0,23,1,0,18,1,14,4,19,1,1,10,0,20,11,4,3,17,2,1,23,1,0,19,16,4,0,2,0,13,1,0,3,8,0,7,0,11,1,5,1,0,0,14,10,22,0,12,2,9,4,4,0,1,0,16,12,8,23,0,19,13,2,15,0,0,0,7,8,19,10,26,2,2,1,3,0,2,5,0,9,0,5,14,1,5,11,10,12,0,9,18,15,11,13,9,4,18,2,0,2,2,0,9,5,11,1,6,14,12,0,1,11,0,1,2,17,11,10,1,3,2,15,0,0,2,16,3,17,0,13,12,4,20,33,0,5,3,4,2,2,6,12,9,17,13,9,5,13,22,10,16,20,0,16,4,18,4,12,0,1,13,4,24,8,3,3,16,4,4
